                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3087,                 2.9483,                  1.578,                  0.041,                0.30899,                0.06834,                0.02903,                 1.6609,                 31.191,                 2.0284,              0.0003125,              0.0003125,              0.0003125
                      2,                 1.6651,                 2.7727,                 1.8878,                0.00843,                0.34898,                 0.0056,                0.00188,                    nan,                    nan,                    nan,             0.00063434,             0.00063434,             0.00063434
                      3,                 1.7774,                 2.7457,                 1.9729,                0.00033,                0.03922,                0.00019,                  5e-05,                    nan,                    nan,                    nan,             0.00095297,             0.00095297,             0.00095297
                      4,                   1.79,                 2.6935,                 1.9846,                0.00033,                0.03922,                0.00019,                  5e-05,                    nan,                    nan,                    nan,              0.0012314,              0.0012314,              0.0012314
                      5,                 1.9078,                 2.8436,                 2.1064,                  9e-05,                0.00735,                  4e-05,                  2e-05,                    nan,                    nan,                    nan,              0.0012252,              0.0012252,              0.0012252
                      6,                  1.866,                 2.7094,                 2.0207,                0.67008,                0.00735,                0.00142,                0.00034,                    nan,                    nan,                    nan,              0.0012191,              0.0012191,              0.0012191
                      7,                 1.7398,                 2.6511,                 1.9489,                0.00112,                0.11029,                0.00092,                0.00029,                 3.8014,                    nan,                 113.47,              0.0012129,              0.0012129,              0.0012129
                      8,                 1.8467,                 2.6575,                 2.0148,                0.02243,                0.03607,                 0.0064,                0.00284,                 3.8898,                 7.4252,                 6.3991,              0.0012067,              0.0012067,              0.0012067
                      9,                 1.7705,                 2.5595,                 1.9152,                0.00509,                 0.0917,                0.00254,                0.00093,                 4.1803,                    inf,                 25.251,              0.0012005,              0.0012005,              0.0012005
                     10,                 1.6771,                 2.5574,                 1.8713,                0.13307,                0.39461,                0.12177,                0.05219,                 1.8748,                 3.4002,                 2.1808,              0.0011943,              0.0011943,              0.0011943
